date,Day,sales,t_media,t_min,umidità_percentuale,weather,holidays,Chievo,Milan,Verona,Inter,Juventus
2015-01-01,Thursday,6,0,-5,81,sole,Primo dell'Anno,0,0,0,0,0
2015-01-02,Friday,9,0,-4,85,sole,0,0,1,0,0,0
2015-01-02,Friday,9,0,-4,85,sole,0,1,0,0,0,0
2015-01-03,Saturday,14,4,-1,78,sole,0,0,0,0,1,0
2015-01-04,Sunday,10,3,-3,68,sole,0,0,0,0,0,0
2015-01-05,Monday,14,4,-3,56,sole,0,0,0,0,0,0
2015-01-06,Tuesday,13,2,-3,80,sole,Epifania,0,0,0,0,0
2015-01-07,Wednesday,4,3,-1,83,sole,0,0,0,0,0,0
2015-01-08,Thursday,10,4,1,84,sole,0,0,0,0,0,0
2015-01-09,Friday,13,2,-1,91,nebbia ,0,0,0,0,0,0
2015-01-10,Saturday,14,2,-1,90,nebbia ,0,0,0,0,0,0
2015-01-11,Sunday,6,1,-2,91,nebbia ,0,0,0,0,0,0
2015-01-13,Tuesday,13,3,-2,70,sole,0,0,0,0,0,0
2015-01-14,Wednesday,13,4,1,87,nebbia ,0,0,0,0,0,0
2015-01-15,Thursday,8,4,0,88,pioggia nebbia ,0,0,0,0,0,0
2015-01-16,Friday,15,7,4,80,pioggia ,0,0,0,0,0,0
2015-01-17,Saturday,20,9,5,86,pioggia ,0,0,0,0,0,0
2015-01-18,Sunday,18,5,1,80,sole,0,0,0,1,0,1
2015-01-18,Sunday,18,5,1,80,sole,0,1,0,0,0,0
2015-01-18,Sunday,18,5,1,80,sole,0,0,1,0,0,0
2015-01-20,Tuesday,16,2,-1,89,nebbia ,0,0,0,0,0,0
2015-01-21,Wednesday,12,4,1,85,pioggia ,0,0,0,0,0,0
2015-01-22,Thursday,7,6,5,87,pioggia ,0,0,0,0,0,0
2015-01-23,Friday,11,6,2,80,sole,0,0,0,0,0,0
2015-01-24,Saturday,28,5,2,75,sole,0,0,0,0,0,0
2015-01-25,Sunday,26,5,2,73,sole,0,1,0,0,0,1
2015-01-25,Sunday,26,5,2,73,sole,0,0,0,0,1,0
2015-01-25,Sunday,26,5,2,73,sole,0,0,0,1,0,0
2015-01-27,Tuesday,11,1,-2,81,sole,0,0,0,0,0,0
2015-01-28,Wednesday,18,2,-2,56,sole,0,0,0,0,0,0
2015-01-29,Thursday,18,1,-2,77,pioggia ,0,0,0,0,0,0
2015-01-30,Friday,24,2,-1,82,pioggia ,0,0,0,0,0,0
2015-01-31,Saturday,32,2,-4,68,sole,0,0,0,0,0,0
2015-02-01,Sunday,29,3,-1,67,sole,0,0,0,0,0,0
2015-02-03,Tuesday,17,3,-2,68,sole,0,0,0,0,0,0
2015-02-04,Wednesday,16,6,3,59,sole,0,0,0,0,0,0
2015-02-05,Thursday,11,5,4,84,sole,0,0,0,0,0,0
2015-02-06,Friday,25,3,1,87,sole,0,0,0,0,0,0
2015-02-07,Saturday,28,4,1,76,sole,0,0,0,0,0,0
2015-02-08,Sunday,19,1,-3,88,sole,0,0,0,0,0,0
2015-02-10,Tuesday,22,2,-3,76,sole,0,0,0,0,0,0
2015-02-11,Wednesday,19,4,0,82,sole,0,1,0,0,0,0
2015-02-12,Thursday,19,5,-1,82,sole,Giovedì Grasso,0,0,0,0,0
2015-02-13,Friday,22,6,5,80,sole,0,0,0,0,0,0
2015-02-14,Saturday,33,6,4,89,sole,San Valentino,0,0,0,0,0
2015-02-15,Sunday,28,8,6,83,sole,Carnevale,0,1,0,0,0
2015-02-15,Sunday,28,8,6,83,sole,Carnevale,1,0,0,0,0
2015-02-17,Tuesday,21,9,4,58,sole,Martedì Grasso,0,0,0,0,0
2015-02-18,Wednesday,10,6,0,68,sole,0,0,0,0,0,0
2015-02-19,Thursday,20,4,-1,80,sole,0,0,0,0,0,0
2015-02-20,Friday,17,4,-1,84,sole,0,0,0,0,0,1
2015-02-21,Saturday,30,5,2,81,sole,0,0,0,0,0,0
2015-02-22,Sunday,36,7,5,89,sole,0,0,0,1,0,0
2015-02-22,Sunday,36,7,5,89,sole,0,0,1,0,0,0
2015-02-24,Tuesday,19,7,4,75,sole,0,0,0,0,0,0
2015-02-25,Wednesday,13,7,6,75,sole,0,0,0,0,0,0
2015-02-26,Thursday,19,8,6,62,sole,0,0,0,0,0,0
2015-02-27,Friday,18,8,6,67,sole,0,0,0,0,0,0
2015-02-28,Saturday,33,8,1,71,sole,0,1,1,0,0,0
2015-03-01,Sunday,22,7,2,79,sole,0,0,0,0,0,0
2015-03-03,Tuesday,20,8,1,72,nebbia ,0,0,0,0,0,0
2015-03-04,Wednesday,23,8,3,68,pioggia ,0,0,0,0,0,0
2015-03-05,Thursday,10,8,3,43,sole,0,1,0,0,1,0
2015-03-05,Thursday,10,8,3,43,sole,0,0,0,1,0,0
2015-03-06,Friday,20,7,1,34,sole,0,0,0,0,0,0
2015-03-07,Saturday,37,7,1,57,sole,0,0,0,0,0,0
2015-03-08,Sunday,27,7,1,59,sole,0,0,0,0,0,0
2015-03-10,Tuesday,20,8,1,65,sole,0,1,0,1,0,0
2015-03-11,Wednesday,16,10,5,66,sole,0,0,0,0,0,0
2015-03-12,Thursday,18,9,4,55,sole,0,0,0,0,0,0
2015-03-13,Friday,22,8,2,60,sole,0,0,0,0,0,0
2015-03-14,Saturday,41,8,3,62,sole,0,0,0,0,0,0
2015-03-15,Sunday,34,9,3,64,pioggia ,0,0,0,1,0,0
2015-03-15,Sunday,34,9,3,64,pioggia ,0,0,0,0,1,0
2015-03-17,Tuesday,15,12,8,70,pioggia ,0,0,0,0,0,0
2015-03-18,Wednesday,18,10,5,76,sole,0,0,0,0,0,0
2015-03-19,Thursday,19,10,4,67,sole,Festa di San Giuseppe,0,0,0,0,0
2015-03-20,Friday,17,10,5,61,sole,0,0,0,0,0,0
2015-03-21,Saturday,31,10,6,69,pioggia ,0,1,0,0,0,0
2015-03-21,Saturday,31,10,6,69,pioggia ,0,0,1,0,0,0
2015-03-22,Sunday,37,9,7,79,pioggia ,0,0,0,0,0,1
2015-03-24,Tuesday,21,12,7,64,sole,0,0,0,0,0,0
2015-03-25,Wednesday,23,12,11,75,pioggia ,0,0,0,0,0,0
2015-03-26,Thursday,19,11,10,91,pioggia ,0,0,0,0,0,0
2015-03-27,Friday,16,12,10,74,sole,0,0,0,0,0,0
2015-03-28,Saturday,39,13,8,33,sole,0,0,0,0,0,0
2015-03-29,Sunday,20,12,6,58,sole,Domenica delle Palme,0,0,0,0,0
2015-03-31,Tuesday,16,14,6,71,sole,0,0,0,0,0,0
2015-04-01,Wednesday,15,13,6,51,nebbia ,0,0,0,0,0,0
2015-04-02,Thursday,16,12,5,39,sole,0,0,0,0,0,0
2015-04-03,Friday,14,11,7,47,sole,0,0,0,0,0,0
2015-04-04,Saturday,17,10,8,53,sole,0,0,0,0,1,0
2015-04-04,Saturday,17,10,8,53,sole,0,0,0,0,0,1
2015-04-04,Saturday,17,10,8,53,sole,0,0,0,1,0,0
2015-04-05,Sunday,5,9,6,62,pioggia ,Pasqua,0,0,0,0,0
2015-04-07,Tuesday,8,10,2,37,sole,0,0,0,0,0,0
2015-04-08,Wednesday,15,11,2,46,sole,0,0,0,0,0,0
2015-04-09,Thursday,12,13,6,53,sole,0,0,0,0,0,0
2015-04-10,Friday,19,14,7,62,sole,0,0,1,0,0,0
2015-04-10,Friday,19,14,7,62,sole,0,0,0,0,0,1
2015-04-11,Saturday,27,13,6,67,sole,0,0,0,0,0,0
2015-04-12,Sunday,28,15,8,67,nebbia ,0,0,0,0,0,0
2015-04-14,Tuesday,17,17,10,60,sole,0,0,0,0,0,0
2015-04-15,Wednesday,17,18,10,58,sole,0,0,0,0,0,0
2015-04-16,Thursday,18,17,10,65,pioggia ,0,0,0,0,0,0
2015-04-17,Friday,25,15,12,84,pioggia ,0,0,0,0,0,0
2015-04-18,Saturday,40,13,8,77,pioggia temporale nebbia ,0,0,0,0,0,1
2015-04-19,Sunday,25,11,7,51,sole,0,1,0,0,0,0
2015-04-19,Sunday,25,11,7,51,sole,0,0,1,0,1,0
2015-04-21,Tuesday,21,16,8,52,sole,0,0,0,0,0,0
